Timestamp,Waveform,Heartbeat,Heart Rate,HRV
2025-02-28 15:21:26,72,0,0,0
2025-02-28 15:21:26,72,0,0,0
2025-02-28 15:21:26,105,0,0,0
2025-02-28 15:21:26,106,0,0,0
2025-02-28 15:21:26,105,0,0,0
2025-02-28 15:21:26,117,0,0,0
2025-02-28 15:21:26,116,0,0,0
2025-02-28 15:21:26,116,0,0,0
2025-02-28 15:21:26,94,0,0,0
2025-02-28 15:21:26,96,0,0,0
2025-02-28 15:21:26,95,0,0,0
2025-02-28 15:21:26,71,0,0,0
2025-02-28 15:21:26,71,0,0,0
2025-02-28 15:21:27,71,0,0,0
2025-02-28 15:21:27,69,0,0,0
2025-02-28 15:21:27,69,0,0,0
2025-02-28 15:21:27,68,0,0,0
2025-02-28 15:21:27,103,0,0,0
2025-02-28 15:21:27,104,0,0,0
2025-02-28 15:21:27,104,0,0,0
2025-02-28 15:21:27,117,0,0,0
2025-02-28 15:21:27,118,0,0,0
2025-02-28 15:21:27,116,0,0,0
2025-02-28 15:21:27,108,0,0,0
2025-02-28 15:21:27,109,0,0,0
2025-02-28 15:21:27,105,0,0,0
2025-02-28 15:21:27,75,0,0,0
2025-02-28 15:21:27,72,0,0,0
2025-02-28 15:21:27,70,0,0,0
2025-02-28 15:21:27,59,0,0,0
2025-02-28 15:21:27,60,0,0,0
2025-02-28 15:21:27,60,0,0,0
2025-02-28 15:21:27,91,0,0,0
2025-02-28 15:21:27,92,0,0,0
2025-02-28 15:21:27,92,0,0,0
2025-02-28 15:21:27,121,0,0,0
2025-02-28 15:21:28,121,0,0,0
2025-02-28 15:21:28,122,0,0,0
2025-02-28 15:21:28,103,0,0,0
2025-02-28 15:21:28,103,0,0,0
2025-02-28 15:21:28,102,0,0,0
2025-02-28 15:21:28,76,0,0,0
2025-02-28 15:21:28,75,0,0,0
2025-02-28 15:21:28,75,0,0,0
2025-02-28 15:21:28,66,0,0,0
2025-02-28 15:21:28,66,0,0,0
2025-02-28 15:21:28,64,0,0,0
2025-02-28 15:21:28,90,0,0,0
2025-02-28 15:21:28,90,0,0,0
2025-02-28 15:21:28,90,0,0,0
2025-02-28 15:21:28,118,0,0,0
2025-02-28 15:21:28,118,0,0,0
2025-02-28 15:21:28,117,0,0,0
2025-02-28 15:21:28,101,0,0,0
2025-02-28 15:21:28,102,0,0,0
2025-02-28 15:21:28,103,0,0,0
2025-02-28 15:21:28,78,0,0,0
2025-02-28 15:21:28,78,0,0,0
2025-02-28 15:21:28,78,0,0,0
2025-02-28 15:21:29,66,0,0,0
2025-02-28 15:21:29,66,0,0,0
2025-02-28 15:21:29,66,0,0,0
2025-02-28 15:21:29,91,0,0,0
2025-02-28 15:21:29,90,0,0,0
2025-02-28 15:21:29,88,0,0,0
2025-02-28 15:21:29,116,0,0,0
2025-02-28 15:21:29,114,0,0,0
2025-02-28 15:21:29,115,0,0,0
2025-02-28 15:21:29,104,0,0,0
2025-02-28 15:21:29,103,0,0,0
2025-02-28 15:21:29,103,0,0,0
2025-02-28 15:21:29,78,0,0,0
2025-02-28 15:21:29,79,0,0,0
2025-02-28 15:21:29,79,0,0,0
2025-02-28 15:21:29,68,0,0,0
2025-02-28 15:21:29,69,0,0,0
2025-02-28 15:21:29,70,0,0,0
2025-02-28 15:21:29,91,0,0,0
2025-02-28 15:21:29,91,0,0,0
2025-02-28 15:21:29,90,0,0,0
2025-02-28 15:21:29,116,0,0,0
2025-02-28 15:21:29,113,0,0,0
2025-02-28 15:21:29,112,0,0,0
2025-02-28 15:21:30,101,0,0,0
2025-02-28 15:21:30,100,0,0,0
2025-02-28 15:21:30,101,0,0,0
2025-02-28 15:21:30,76,0,0,0
2025-02-28 15:21:30,78,0,0,0
2025-02-28 15:21:30,73,0,0,0
2025-02-28 15:21:30,54,0,0,0
2025-02-28 15:21:30,58,0,0,0
2025-02-28 15:21:30,60,0,0,0
2025-02-28 15:21:30,84,0,0,0
2025-02-28 15:21:30,86,0,0,0
2025-02-28 15:21:30,87,0,0,0
2025-02-28 15:21:30,120,0,0,0
2025-02-28 15:21:30,120,0,0,0
2025-02-28 15:21:30,120,0,0,0
2025-02-28 15:21:30,114,0,0,0
2025-02-28 15:21:30,114,0,0,0
2025-02-28 15:21:30,114,0,0,0
2025-02-28 15:21:30,90,0,0,0
2025-02-28 15:21:30,89,0,0,0
